Date,Open,High,Low,Close,Adj Close,Volume
2019-11-05,1.660000,1.700000,1.650000,1.680000,1.680000,12500
2019-11-06,1.670000,1.680000,1.590000,1.620000,1.620000,39800
2019-11-07,1.620000,1.650000,1.590000,1.590000,1.590000,31300
2019-11-08,1.590000,1.600000,1.500000,1.560000,1.560000,64500
2019-11-11,1.510000,1.540000,1.400000,1.410000,1.410000,104800
2019-11-12,1.420000,1.470000,1.390000,1.390000,1.390000,95000
2019-11-13,1.450000,1.560000,1.410000,1.420000,1.420000,130000
2019-11-14,1.440000,1.470000,1.340000,1.430000,1.430000,84500
2019-11-15,1.400000,1.410000,1.360000,1.390000,1.390000,57700
2019-11-18,1.360000,1.390000,1.260000,1.280000,1.280000,169200
2019-11-19,1.260000,1.290000,1.210000,1.250000,1.250000,144400
2019-11-20,1.210000,1.290000,1.190000,1.250000,1.250000,262700
2019-11-21,1.270000,1.380000,1.260000,1.330000,1.330000,211600
2019-11-22,1.370000,1.410000,1.330000,1.380000,1.380000,75800
2019-11-25,1.390000,1.430000,1.360000,1.390000,1.390000,105500
2019-11-26,1.350000,1.390000,1.300000,1.330000,1.330000,70900
2019-11-27,1.310000,1.410000,1.310000,1.340000,1.340000,42200
2019-11-29,1.350000,1.380000,1.330000,1.360000,1.360000,32100
2019-12-02,1.380000,1.450000,1.360000,1.450000,1.450000,55000
2019-12-03,1.400000,1.470000,1.380000,1.440000,1.440000,33500
2019-12-04,1.420000,1.480000,1.420000,1.440000,1.440000,32700
2019-12-05,1.430000,1.430000,1.380000,1.380000,1.380000,43500
2019-12-06,1.400000,1.450000,1.370000,1.370000,1.370000,43800
2019-12-09,1.380000,1.450000,1.380000,1.430000,1.430000,46800
2019-12-10,1.470000,1.530000,1.420000,1.430000,1.430000,117200
2019-12-11,1.430000,1.470000,1.390000,1.390000,1.390000,24400
2019-12-12,1.400000,1.420000,1.380000,1.390000,1.390000,32800
2019-12-13,1.410000,1.430000,1.380000,1.430000,1.430000,41300
2019-12-16,1.410000,1.450000,1.350000,1.390000,1.390000,36700
2019-12-17,1.390000,1.420000,1.390000,1.420000,1.420000,19600
2019-12-18,1.490000,1.660000,1.430000,1.620000,1.620000,334700
2019-12-19,1.660000,1.850000,1.620000,1.640000,1.640000,393800
2019-12-20,1.650000,1.740000,1.500000,1.540000,1.540000,145000
2019-12-23,1.620000,1.700000,1.530000,1.630000,1.630000,120100
2019-12-24,1.650000,1.650000,1.590000,1.620000,1.620000,28400
2019-12-26,1.660000,1.700000,1.610000,1.660000,1.660000,85200
2019-12-27,1.620000,1.730000,1.590000,1.670000,1.670000,91900
2019-12-30,1.650000,1.700000,1.600000,1.600000,1.600000,103800
2019-12-31,1.590000,1.630000,1.550000,1.570000,1.570000,74700
2020-01-02,1.540000,1.660000,1.540000,1.590000,1.590000,55600
2020-01-03,1.550000,1.660000,1.550000,1.590000,1.590000,52300
2020-01-06,1.730000,1.760000,1.550000,1.580000,1.580000,58300
