time;open;high;low;close;Volume;Kolonne1
2021-06-17 18:00;26054;26143;25938;260915;371736;
2021-06-17 20:00;260965;26174;26057;26099;571535;
2021-06-17 22:00;261;261;261;261;400;
2021-06-18 12:00;2606;2606;2606;2606;100;
2021-06-18 14:00;26038;26116;25875;26017;203097;
2021-06-18 16:00;26018;26228;25949;25997;406887;
2021-06-18 18:00;25999;26109;25982;26065;182840;
2021-06-18 20:00;26064;26113;25893;25921;566874;
2021-06-18 22:00;25935;25943;2588;2588;1532;
2021-06-21 12:00;26093;26093;26045;26045;200;
2021-06-21 14:00;25945;26045;25796;26028;162725;
2021-06-21 16:00;26035;26351;26023;26296;464787;
2021-06-21 18:00;26301;26313;26169;26271;216957;
2021-06-21 20:00;26272;26292;26189;26259;471371;
2021-06-21 22:00;26268;26269;26268;26269;800;
2021-06-22 12:00;26352;26352;26335;26335;200;
2021-06-22 14:00;2627;26468;26244;26407;192113;
2021-06-22 16:00;2641;26476;26338;26425;304005;
2021-06-22 18:00;26429;26478;26417;26459;163868;
2021-06-22 20:00;26459;26579;26444;26552;511866;
2021-06-22 22:00;26551;26551;26551;26551;110;
2021-06-23 12:00;26558;26636;26558;26632;1137;
2021-06-23 14:00;26632;26681;26524;26614;129648;
2021-06-23 16:00;26616;26635;26444;26534;284363;
2021-06-23 18:00;26534;2656;26443;26527;185363;
2021-06-23 20:00;26526;26561;26485;26527;281002;
2021-06-24 12:00;26656;26661;26656;26661;318;
2021-06-24 14:00;2667;26741;26551;2668;126129;
2021-06-24 16:00;26681;26755;26641;26714;328640;
2021-06-24 18:00;26714;26785;26621;26643;268061;
2021-06-24 20:00;2664;26695;26609;26662;313139;
2021-06-24 22:00;2666;26673;26658;26673;800;
2021-06-25 12:00;26738;26738;26694;26694;619;
2021-06-25 14:00;26691;26723;26561;26582;148868;
2021-06-25 16:00;26577;26626;26494;26582;202223;
2021-06-25 18:00;26581;26581;26476;26531;194250;
2021-06-25 20:00;26532;2663;2649;26505;488748;
2021-06-25 22:00;2649;26513;2649;26513;500;
2021-06-28 14:00;2666;26843;26598;26778;148491;
2021-06-28 16:00;26779;26854;26745;2683;266145;
2021-06-28 18:00;26829;26856;26774;2678;201509;
2021-06-28 20:00;26779;2689;26765;26875;483069;
